[00:00.00] 山野(李昊瀚) - 甜蜜的伤口
[00:05.99] 作词：山野（李昊瀚
[00:10.65] 作曲：山野（李昊瀚）/于韵非

[00:15.71] 你给的甜蜜的伤口
[00:19.40] 陪着我停停又走走
[00:23.07] 那些爱过的理由原来是借口

[00:31.35] 我只能独自离开
[00:33.25] 去一个没有回忆的城市
[00:38.68] 我删掉你的照片
[00:40.62] 却还是忘不掉你的样子

[00:45.73] 有些痛无法忘记
[00:48.02] 有些事情非得已
[00:50.00] 有些梦并不是想象中好美丽
[00:53.54] 当爱已无法继续
[00:55.40] 谁又舍得放弃

[01:00.98] 你给的甜蜜的伤口
[01:04.66] 曾经的每一份温柔
[01:08.38] 它躲在我的回忆赶都赶不走
[01:15.78] 你给的甜蜜的伤口
[01:19.48] 陪着我停停又走走
[01:23.14] 那些爱过的理由原来是借口

[02:04.66] 我只能独自离开
[02:06.53] 去一个没有回忆的城市
[02:12.05] 我删掉你的照片
[02:13.91] 却还是忘不掉我的样子

[02:19.03] 有些痛无法忘记
[02:21.33] 有些事情非得已
[02:23.30] 有些梦并不是想象中好美丽
[02:26.87] 当爱已无法继续
[02:28.69] 谁又舍得放弃

[02:33.29] 你给的甜蜜的伤口
[02:37.01] 曾经的每一份温柔
[02:40.68] 它躲在我的回忆赶都赶不走
[02:45.62] 你给的甜蜜的伤口
[02:51.07] 陪着我停停又走走
[02:55.48] 那些爱过的理由原来是借口

[03:02.87] 你给的甜蜜的伤口
[03:06.55] 曾经的温柔
[03:09.96] 它躲在我的回忆赶都赶不走
[03:17.56] 你给的甜蜜的伤口
[03:21.31] 陪着我停停又走走
[03:25.77] 爱的理由原来是借口
[03:32.91] 你离开以后我失去所有
